Delivery_ID,Order_ID,Rider_ID,Pickup_Time,Delivery_Time,Distance_km,Tip
DEL00001,ORD00004,RID023,2023-01-01 01:41:00,2023-01-01 02:09:00,7.15,6.07
DEL00002,ORD00007,RID015,2023-01-01 09:16:00,2023-01-01 09:49:00,4.59,1
DEL00003,ORD00008,RID006,2023-01-01 09:26:00,2023-01-01 10:09:00,4.96,13.99
DEL00004,ORD00009,RID023,2023-01-01 10:07:00,2023-01-01 10:49:00,17.38,14.81
DEL00005,ORD00010,RID009,2023-01-01 11:36:00,2023-01-01 12:01:00,6.3,3.35
DEL00006,ORD00016,RID003,2023-01-01 14:29:00,2023-01-01 15:07:00,5.06,14.34
DEL00007,ORD00021,RID010,2023-01-01 15:59:00,2023-01-01 16:44:00,8.09,3.39
DEL00008,ORD00022,RID018,2023-01-01 17:01:00,2023-01-01 17:27:00,6.66,1.93
DEL00009,ORD00023,RID013,2023-01-01 17:22:00,2023-01-01 17:52:00,5.14,4.12
DEL00010,ORD00024,RID017,2023-01-01 19:31:00,2023-01-01 19:53:00,16.97,0.88
DEL00011,ORD00033,RID001,2023-01-02 13:15:00,2023-01-02 13:34:00,13.01,9.17
DEL00012,ORD00038,RID022,2023-01-02 14:34:00,2023-01-02 14:53:00,18.52,14.32
DEL00013,ORD00040,RID014,2023-01-02 17:25:00,2023-01-02 17:48:00,5.54,11.72
DEL00014,ORD00052,RID006,2023-01-03 03:46:00,2023-01-03 04:31:00,18.89,10.64
DEL00015,ORD00058,RID019,2023-01-03 13:44:00,2023-01-03 14:13:00,18.01,6.04
DEL00016,ORD00061,RID002,2023-01-03 16:15:00,2023-01-03 16:43:00,9.36,8.82
DEL00017,ORD00063,RID004,2023-01-03 19:05:00,2023-01-03 19:38:00,11.04,3.09
DEL00018,ORD00064,RID004,2023-01-03 21:17:00,2023-01-03 21:54:00,8.74,5.61
DEL00019,ORD00065,RID015,2023-01-03 21:43:00,2023-01-03 22:28:00,11.09,10.66
DEL00020,ORD00067,RID016,2023-01-04 01:53:00,2023-01-04 02:10:00,3.11,9.57
DEL00021,ORD00075,RID020,2023-01-04 07:38:00,2023-01-04 08:01:00,18.86,2.45
DEL00022,ORD00085,RID004,2023-01-04 15:31:00,2023-01-04 16:03:00,13.51,12.7
DEL00023,ORD00088,RID019,2023-01-04 16:13:00,2023-01-04 16:31:00,17.41,1.68
DEL00024,ORD00093,RID019,2023-01-04 23:42:00,2023-01-05 00:10:00,4.07,6.2
DEL00025,ORD00095,RID016,2023-01-05 00:10:00,2023-01-05 00:26:00,18.61,6.77
DEL00026,ORD00096,RID016,2023-01-04 23:58:00,2023-01-05 00:26:00,1.81,0.38
DEL00027,ORD00097,RID013,2023-01-05 00:14:00,2023-01-05 00:36:00,14.25,11.95
DEL00028,ORD00101,RID019,2023-01-05 05:27:00,2023-01-05 05:43:00,6.24,4.61
DEL00029,ORD00102,RID007,2023-01-05 05:25:00,2023-01-05 06:01:00,16.26,9.16
DEL00030,ORD00104,RID005,2023-01-05 06:17:00,2023-01-05 06:33:00,5.26,14.55
DEL00031,ORD00105,RID021,2023-01-05 06:40:00,2023-01-05 07:24:00,14.77,9.99
DEL00032,ORD00106,RID025,2023-01-05 08:18:00,2023-01-05 08:34:00,5.03,12.66
DEL00033,ORD00107,RID021,2023-01-05 08:46:00,2023-01-05 09:03:00,7.05,14.14
DEL00034,ORD00124,RID014,2023-01-05 23:39:00,2023-01-06 00:24:00,15.84,13.37
DEL00035,ORD00125,RID017,2023-01-06 02:47:00,2023-01-06 03:12:00,10.18,3.92
DEL00036,ORD00126,RID001,2023-01-06 03:30:00,2023-01-06 04:12:00,11.78,6.08
DEL00037,ORD00136,RID012,2023-01-06 10:52:00,2023-01-06 11:14:00,11.75,14.15
DEL00038,ORD00134,RID002,2023-01-06 10:39:00,2023-01-06 11:19:00,16.96,9.81
DEL00039,ORD00137,RID017,2023-01-06 12:41:00,2023-01-06 13:04:00,15.99,8.68
DEL00040,ORD00140,RID016,2023-01-06 16:05:00,2023-01-06 16:28:00,16.53,6.96
DEL00041,ORD00149,RID015,2023-01-06 23:07:00,2023-01-06 23:34:00,1.95,5.71
DEL00042,ORD00151,RID013,2023-01-07 00:27:00,2023-01-07 00:56:00,10.95,10.14
DEL00043,ORD00153,RID021,2023-01-07 02:24:00,2023-01-07 02:58:00,19.75,4.01
DEL00044,ORD00164,RID018,2023-01-07 10:32:00,2023-01-07 11:10:00,5.88,1.69
DEL00045,ORD00182,RID006,2023-01-08 02:00:00,2023-01-08 02:28:00,15.07,0.99
DEL00046,ORD00187,RID021,2023-01-08 06:29:00,2023-01-08 06:47:00,13.95,10.02
DEL00047,ORD00192,RID001,2023-01-08 12:43:00,2023-01-08 13:09:00,12.9,12.09
DEL00048,ORD00199,RID004,2023-01-08 17:38:00,2023-01-08 17:59:00,15.44,12.43
DEL00049,ORD00198,RID006,2023-01-08 17:28:00,2023-01-08 17:59:00,9.02,8.44
DEL00050,ORD00204,RID009,2023-01-08 19:45:00,2023-01-08 20:03:00,9.14,1.04
DEL00051,ORD00203,RID013,2023-01-08 19:40:00,2023-01-08 20:07:00,6.01,11.24
DEL00052,ORD00212,RID012,2023-01-09 03:31:00,2023-01-09 03:48:00,11.19,14.46
DEL00053,ORD00216,RID025,2023-01-09 08:32:00,2023-01-09 09:01:00,17.55,11.61
DEL00054,ORD00220,RID025,2023-01-09 15:32:00,2023-01-09 15:55:00,19.54,12.29
DEL00055,ORD00219,RID010,2023-01-09 15:36:00,2023-01-09 16:13:00,8.67,8.42
DEL00056,ORD00229,RID011,2023-01-09 23:05:00,2023-01-09 23:27:00,10.75,8.44
DEL00057,ORD00236,RID014,2023-01-10 08:44:00,2023-01-10 09:03:00,17.13,2.89
DEL00058,ORD00253,RID011,2023-01-10 19:51:00,2023-01-10 20:21:00,14.13,8.61
DEL00059,ORD00259,RID021,2023-01-11 01:30:00,2023-01-11 01:45:00,16.29,12.53
DEL00060,ORD00265,RID019,2023-01-11 03:52:00,2023-01-11 04:30:00,5.12,2.99
DEL00061,ORD00266,RID014,2023-01-11 04:35:00,2023-01-11 04:59:00,10.63,13.26
DEL00062,ORD00270,RID025,2023-01-11 06:36:00,2023-01-11 07:13:00,11.85,9.68
DEL00063,ORD00271,RID005,2023-01-11 07:04:00,2023-01-11 07:43:00,13.08,14.25
