Order_ID,Customer_ID,Restaurant_ID,Order_Date,Order_Time,Items,Total_Amount,Status
ORD00001,CUST016,REST014,2023-01-01,00:18:00,Sushi,19.88,Not Delivered
ORD00002,CUST003,REST001,2023-01-01,00:54:00,Biryani,89.91,Not Delivered
ORD00003,CUST001,REST016,2023-01-01,01:06:00,Pizza,99.94,Not Delivered
ORD00004,CUST018,REST001,2023-01-01,01:16:00,Pasta,82.96,Delivered
ORD00005,CUST011,REST014,2023-01-01,06:45:00,Sushi,86.21,Not Delivered
ORD00006,CUST017,REST008,2023-01-01,08:15:00,Salad,8.82,Not Delivered
ORD00007,CUST022,REST008,2023-01-01,08:58:00,Salad,64.11,Delivered
ORD00008,CUST006,REST014,2023-01-01,09:01:00,Noodles,6.54,Delivered
ORD00009,CUST010,REST015,2023-01-01,09:57:00,Burger,71.97,Delivered
ORD00010,CUST017,REST014,2023-01-01,11:13:00,Pizza,26.46,Delivered
ORD00011,CUST020,REST007,2023-01-01,11:42:00,Pizza,19.41,Not Delivered
ORD00012,CUST019,REST006,2023-01-01,11:55:00,Sushi,99.33,Not Delivered
ORD00013,CUST010,REST009,2023-01-01,12:29:00,Noodles,54.07,Delivered
ORD00014,CUST022,REST013,2023-01-01,13:19:00,Burger,79.64,Not Delivered
ORD00015,CUST008,REST010,2023-01-01,13:23:00,Burger,25.38,Delivered
ORD00016,CUST013,REST007,2023-01-01,14:01:00,Tacos,62.86,Delivered
ORD00017,CUST010,REST010,2023-01-01,14:40:00,Noodles,18.1,Not Delivered
ORD00018,CUST015,REST009,2023-01-01,14:59:00,Burger,67.22,Not Delivered
ORD00019,CUST009,REST013,2023-01-01,15:09:00,Tacos,84.59,Delivered
ORD00020,CUST001,REST010,2023-01-01,15:09:00,Tacos,9.41,Not Delivered
ORD00021,CUST016,REST023,2023-01-01,15:42:00,Noodles,60.26,Delivered
ORD00022,CUST006,REST013,2023-01-01,16:49:00,Noodles,39.26,Delivered
ORD00023,CUST014,REST022,2023-01-01,17:02:00,Biryani,85.49,Delivered
ORD00024,CUST017,REST006,2023-01-01,19:08:00,Salad,65.5,Delivered
ORD00025,CUST008,REST005,2023-01-01,20:02:00,Noodles,22.33,Not Delivered
